County,Description,Unit,2015,2016,2017,2018,2019
"Crockett, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1825989,1779179,1727147,1368848,1337385
"Crockett, TX",Chain-type quantity indexes for real GDP ,Quantity index,158.816,154.744,150.219,119.056,116.319
"Crockett, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,869737,723014,918866,894797,679984
"Crosby, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,272310,289678,304615,291382,317683
"Crosby, TX",Chain-type quantity indexes for real GDP ,Quantity index,120.69,128.388,135.009,129.143,140.8
"Crosby, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,193081,195394,225592,233436,244176
"Culberson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,880467,1188019,1464814,1549054,2145732
"Culberson, TX",Chain-type quantity indexes for real GDP ,Quantity index,404.721,546.092,673.326,712.048,986.32
"Culberson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,452620,529410,838928,1079407,1160920
"Dallam, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,915453,858374,878922,761322,783822
"Dallam, TX",Chain-type quantity indexes for real GDP ,Quantity index,151.445,142.002,145.401,125.947,129.669
"Dallam, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,850565,746903,797374,686835,711967
"Dallas, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,216201170,222697886,228099541,236377335,246221845
"Dallas, TX",Chain-type quantity indexes for real GDP ,Quantity index,111.296,114.64,117.421,121.682,126.75
"Dallas, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,225699260,234917343,243957822,258408150,274306259
"Dawson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,751625,754464,847837,911619,841436
"Dawson, TX",Chain-type quantity indexes for real GDP ,Quantity index,90.546,90.888,102.137,109.82,101.366
"Dawson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,555758,531284,662149,765572,657618
"Deaf Smith, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1758372,1935195,1829974,1745746,1635144
"Deaf Smith, TX",Chain-type quantity indexes for real GDP ,Quantity index,162.136,178.441,168.739,160.972,150.774
"Deaf Smith, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1598405,1610633,1609423,1512467,1412463
"Delta, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,116211,133943,109707,100532,102229
"Delta, TX",Chain-type quantity indexes for real GDP ,Quantity index,139.415,160.688,131.613,120.605,122.641
"Delta, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,115639,128706,109625,101224,104429
"Denton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,26705082,28377505,30280682,31446463,33230943
"Denton, TX",Chain-type quantity indexes for real GDP ,Quantity index,125.163,133.001,141.921,147.385,155.748
