County,Description,Unit,2015,2016,2017,2018,2019
"Webb, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,10567183,10197976,11027539,11296572,11415259
"Wharton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1667233,1598084,1718623,1728380,1926509
"Wharton, TX",Chain-type quantity indexes for real GDP ,Quantity index,99.678,95.544,102.75,103.334,115.179
"Wharton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1577422,1492170,1663923,1720879,1943310
"Wheeler, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1675613,1389085,1233436,1003618,916225
"Wheeler, TX",Chain-type quantity indexes for real GDP ,Quantity index,87.521,72.555,64.425,52.421,47.856
"Wheeler, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,861061,623698,690495,659423,498480
"Wichita, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5050148,5039598,5122457,5238705,5460115
"Wichita, TX",Chain-type quantity indexes for real GDP ,Quantity index,96.445,96.243,97.826,100.046,104.274
"Wichita, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5217041,5257238,5446470,5721759,6053250
"Wilbarger, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,682077,701588,689181,760637,795871
"Wilbarger, TX",Chain-type quantity indexes for real GDP ,Quantity index,91.225,93.834,92.175,101.732,106.445
"Wilbarger, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,689006,702468,709143,805554,852000
"Willacy, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,481616,438109,463869,534303,513744
"Willacy, TX",Chain-type quantity indexes for real GDP ,Quantity index,113.125,102.906,108.957,125.501,120.672
"Willacy, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,446342,397927,437052,514728,494726
"Williamson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,18155562,18686992,19362820,20553535,21981045
"Williamson, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.829,104.809,108.6,115.278,123.285
"Williamson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,19076505,19854918,20884422,22608415,24794708
"Wilson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1011099,991962,968085,1049254,1194503
"Wilson, TX",Chain-type quantity indexes for real GDP ,Quantity index,105.258,103.266,100.78,109.23,124.351
"Wilson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,905417,871383,890580,1005081,1134592
"Winkler, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,977044,978119,1310201,1862119,2471171
"Winkler, TX",Chain-type quantity indexes for real GDP ,Quantity index,118.299,118.429,158.637,225.462,299.205
"Winkler, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,608159,548385,897810,1504209,1617526
"Wise, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4335017,3834542,3392150,3326407,3452576
"Wise, TX",Chain-type quantity indexes for real GDP ,Quantity index,108.349,95.84,84.783,83.14,86.293
"Wise, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3681941,3146645,2993845,3113881,3128212
"Wood, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1667498,1660317,1748630,1732447,1751366
"Wood, TX",Chain-type quantity indexes for real GDP ,Quantity index,116.066,115.567,121.714,120.587,121.904
"Wood, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1347737,1300770,1483897,1569467,1513213
"Yoakum, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2806900,3110778,3251940,3219193,3514423
"Yoakum, TX",Chain-type quantity indexes for real GDP ,Quantity index,87.021,96.442,100.819,99.804,108.956
"Yoakum, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1511359,1462585,1920431,2261934,1986679
"Young, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,901507,880525,893762,879636,870798
"Young, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.057,98.705,100.188,98.605,97.614
"Young, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,846112,819618,864205,886259,870840
"Zapata, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1022518,840923,894975,859810,890184
"Zapata, TX",Chain-type quantity indexes for real GDP ,Quantity index,89.856,73.898,78.648,75.558,78.227
"Zapata, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,716440,543811,663709,692009,658697
"Zavala, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1192850,1117977,999557,899507,1056527
"Zavala, TX",Chain-type quantity indexes for real GDP ,Quantity index,209.725,196.561,175.741,158.15,185.757
"Zavala, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,676159,567342,610843,633347,634029
