County,Description,Unit,2015,2016,2017,2018,2019
"Freestone, TX",Personal income (thousands of dollars) ,Thousands of dollars,739891,691436,707081,746144,758065
"Freestone, TX",Population (persons) 1/,Number of persons,19527,19399,19351,19443,19368
"Freestone, TX",Per capita personal income (dollars) 2/,Dollars,37891,35643,36540,38376,39140
"Frio, TX",Personal income (thousands of dollars) ,Thousands of dollars,590564,545458,579890,602436,623735
"Frio, TX",Population (persons) 1/,Number of persons,18346,18347,18414,18506,18390
"Frio, TX",Per capita personal income (dollars) 2/,Dollars,32190,29730,31492,32554,33917
"Gaines, TX",Personal income (thousands of dollars) ,Thousands of dollars,770690,737676,822127,860278,975969
"Gaines, TX",Population (persons) 1/,Number of persons,20066,20310,20380,20575,21279
"Gaines, TX",Per capita personal income (dollars) 2/,Dollars,38408,36321,40340,41812,45865
"Galveston, TX",Personal income (thousands of dollars) ,Thousands of dollars,16377533,16181563,17046502,18043639,19442634
"Galveston, TX",Population (persons) 1/,Number of persons,324114,332744,339060,342653,347220
"Galveston, TX",Per capita personal income (dollars) 2/,Dollars,50530,48631,50276,52659,55995
"Garza, TX",Personal income (thousands of dollars) ,Thousands of dollars,193888,171997,186439,196428,196229
"Garza, TX",Population (persons) 1/,Number of persons,6155,5933,6161,5880,5850
"Garza, TX",Per capita personal income (dollars) 2/,Dollars,31501,28990,30261,33406,33543
"Gillespie, TX",Personal income (thousands of dollars) ,Thousands of dollars,1484693,1498641,1614061,1705742,1854342
"Gillespie, TX",Population (persons) 1/,Number of persons,25803,26091,26362,26525,26721
"Gillespie, TX",Per capita personal income (dollars) 2/,Dollars,57540,57439,61227,64307,69396
"Glasscock, TX",Personal income (thousands of dollars) ,Thousands of dollars,107647,93354,123256,134065,132385
"Glasscock, TX",Population (persons) 1/,Number of persons,1210,1168,1140,1137,1135
"Glasscock, TX",Per capita personal income (dollars) 2/,Dollars,88964,79926,108119,117911,116639
"Goliad, TX",Personal income (thousands of dollars) ,Thousands of dollars,324639,310216,320963,343955,360432
"Goliad, TX",Population (persons) 1/,Number of persons,7197,7137,7118,7082,7046
"Goliad, TX",Per capita personal income (dollars) 2/,Dollars,45108,43466,45092,48567,51154
"Gonzales, TX",Personal income (thousands of dollars) ,Thousands of dollars,986051,833854,893204,969704,958984
"Gonzales, TX",Population (persons) 1/,Number of persons,19834,19992,19829,19729,19730
"Gonzales, TX",Per capita personal income (dollars) 2/,Dollars,49715,41709,45045,49151,48605
"Gray, TX",Personal income (thousands of dollars) ,Thousands of dollars,1009493,871998,921124,933236,962484
"Gray, TX",Population (persons) 1/,Number of persons,22998,22406,21743,21614,21413
"Gray, TX",Per capita personal income (dollars) 2/,Dollars,43895,38918,42364,43177,44949
"Grayson, TX",Personal income (thousands of dollars) ,Thousands of dollars,4951574,5220294,5419633,5762135,6137645
"Grayson, TX",Population (persons) 1/,Number of persons,124603,127007,129542,131987,134094
"Grayson, TX",Per capita personal income (dollars) 2/,Dollars,39739,41102,41837,43657,45771
"Gregg, TX",Personal income (thousands of dollars) ,Thousands of dollars,5595526,5389125,5406296,5693377,5906642
"Gregg, TX",Population (persons) 1/,Number of persons,123866,123466,122951,123322,124048
"Gregg, TX",Per capita personal income (dollars) 2/,Dollars,45174,43649,43971,46167,47616
"Grimes, TX",Personal income (thousands of dollars) ,Thousands of dollars,966391,923597,984234,1025473,1089605
"Grimes, TX",Population (persons) 1/,Number of persons,27209,27367,27791,28127,28764
"Grimes, TX",Per capita personal income (dollars) 2/,Dollars,35517,33749,35416,36459,37881
